ID,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
757662-2,5,0.16464471,0.006932409,0,0,0.008665511,0,0,0,0,0.027729636,0,0,0,0.001733102,0.22530329,0.043327556,0,0,0.001733102,0.017331023
757662-3,5,0.080701754,0,0.005263158,0,0,0,0,0,0,0,0,0.012280702,0,0.047368421,0.3,0.021052632,0.003508772,0.00877193,0,0
757662-4,5,0.13562753,0.024291498,0,0,0,0,0,0,0,0,0,0.004048583,0,0.018218623,0.24696356,0.034412955,0,0,0,0
757662-5,5,0.066202091,0.006968641,0,0,0,0,0,0,0.005226481,0.015679443,0,0.024390244,0,0,0.30139373,0,0,0,0,0
757662-6,5,0.082474227,0,0,0,0,0,0.002061856,0,0.010309278,0,0.004123711,0,0.008247423,0.026804124,0.34020619,0,0,0,0,0.002061856
757662-7,5,0.05465587,0,0,0,0,0,0.026315789,0,0,0.012145749,0,0,0,0.036437247,0.31174089,0,0,0.002024292,0,0
757662-8,5,0.071678322,0.001748252,0,0,0,0,0.01048951,0,0,0,0.01048951,0,0,0.01048951,0.31818182,0.026223776,0,0,0,0
757662-9,5,0.093264249,0,0,0,0,0,0.001727116,0,0,0.005181347,0.003454231,0,0,0.043177893,0.30915371,0,0,0,0.001727116,0
757662-10,5,0.084482759,0,0,0.001724138,0,0,0,0,0,0.001724138,0.001724138,0,0,0.034482759,0.33448276,0,0,0,0.003448276,0
757662-11,5,0.052369077,0.012468828,0,0,0,0,0,0,0,0.002493766,0,0,0.004987531,0.017456359,0.3915212,0,0,0,0,0
757662-12,5,0.055928412,0,0,0.017897092,0.002237137,0.002237137,0,0,0,0,0.017897092,0.015659955,0,0.033557047,0.32885906,0,0,0.004474273,0.002237137,0
757662-13,5,0.064189189,0,0.003378378,0.005067568,0,0,0,0,0,0.008445946,0,0.001689189,0.015202703,0.084459459,0.31756757,0.016891892,0,0,0.001689189,0.001689189
757663-1,5,0.08627451,0.001960784,0,0,0.017647059,0,0,0.001960784,0,0,0,0.30980392,0,0,0.003921569,0.029411765,0,0.005882353,0,0
757663-2,5,0.11067961,0,0,0,0.017475728,0,0,0.013592233,0,0.021359223,0.001941748,0.2776699,0,0,0,0.017475728,0,0.025242718,0.013592233,0
757663-3,5,0.056880734,0,0,0.011009174,0.005504587,0.003669725,0,0,0,0.001834862,0.00733945,0.36513761,0,0,0.001834862,0.003669725,0,0.001834862,0,0
757663-4,5,0.088607595,0.007233273,0,0,0,0,0.009041591,0,0,0,0,0.32007233,0,0.018083183,0,0,0,0,0,0
757663-5,5,0.078393881,0,0,0,0,0.003824092,0,0.003824092,0,0.015296367,0.005736138,0.33460803,0,0,0.001912046,0,0,0,0,0
757663-6,5,0.048361934,0,0,0.001560062,0.001560062,0,0,0,0,0.024960998,0,0.35569423,0.010920437,0.007800312,0,0,0.004680187,0.001560062,0,0
757663-7,5,0.058823529,0,0,0,0,0.00280112,0,0.053221289,0,0.014005602,0,0.31932773,0,0,0,0,0,0.014005602,0,0
757663-8,5,0.062868369,0,0.009823183,0,0,0.001964637,0,0,0,0,0,0.28290766,0,0.00589391,0,0,0,0.009823183,0,0.001964637
757663-9,5,0.084990958,0,0,0.007233273,0,0,0,0,0,0.009041591,0,0.31103074,0,0.005424955,0.019891501,0,0,0.009041591,0,0
757663-10,5,0.073394495,0,0,0.002293578,0.01146789,0,0,0,0,0.020642202,0,0.2706422,0.004587156,0.004587156,0.04587156,0,0,0.004587156,0,0
757663-11,5,0.087248322,0,0,0.001677852,0,0,0.006711409,0,0,0.015100671,0,0.27516779,0.001677852,0.013422819,0,0.033557047,0,0.010067114,0,0
757663-12,5,0.08650519,0,0,0,0,0,0,0,0,0.020761246,0,0.30449827,0.003460208,0.027681661,0.006920415,0,0,0,0,0
757664-1,5,0.11354582,0,0,0.001992032,0.003984064,0,0.26693227,0.003984064,0,0.005976096,0,0,0,0.051792829,0.013944223,0.033864542,0,0.007968128,0,0.015936255
757664-2,5,0.09765625,0.001953125,0.052734375,0,0,0,0.099609375,0.01171875,0,0.00390625,0.0234375,0.0390625,0,0.041015625,0.03125,0.091796875,0.00390625,0.005859375,0,0
757664-3,5,0.091880342,0.002136752,0.006410256,0,0,0,0.26709402,0,0,0,0,0.006410256,0,0.051282051,0.012820513,0.025641026,0,0,0,0.004273504
757664-4,5,0.085889571,0.00204499,0,0,0,0,0.26175869,0,0,0,0,0.036809816,0,0.053169734,0.020449898,0.044989775,0,0,0,0
757664-5,5,0.057471264,0,0,0.001915709,0.003831418,0,0.28735632,0,0.001915709,0,0,0,0.009578544,0.061302682,0.030651341,0,0,0,0,0
757664-6,5,0.052060738,0.002169197,0,0,0,0.002169197,0.34273319,0,0.002169197,0.006507592,0.004338395,0.028199566,0.026030369,0,0.010845987,0,0.00867679,0.004338395,0,0
