702317-5,0.04787234,0,0,0,0.027925532,0.0026595745,0,0.0013297872,0.0026595745,0,0.0013297872,0.019946809,0.34707447,0.0013297872,0,0,0.0093085106,0.0066489362,0.010638298,0.0026595745
702317-6,0.067698259,0,0,0,0,0.001934236,0,0,0,0,0,0.0077369439,0.36750484,0.0058027079,0,0,0.0077369439,0,0,0
702317-7,0.070809249,0.0057803468,0.0014450867,0,0,0,0.01300578,0,0.0072254335,0,0.0057803468,0.018786127,0.34537572,0,0.0057803468,0,0,0.01734104,0,0
702317-8,0.05664488,0,0,0,0,0.034858388,0.0021786492,0.023965142,0,0.0065359477,0,0.0065359477,0.23529412,0,0.0043572985,0,0.045751634,0,0.023965142,0.058823529
702317-9,0.091269841,0,0,0,0,0.0079365079,0,0,0.001984127,0.0079365079,0.003968254,0,0.31746032,0,0,0,0.015873016,0.005952381,0,0
702317-10,0.057627119,0.0050847458,0.016949153,0,0,0.0016949153,0,0,0.0016949153,0.0050847458,0.006779661,0.03559322,0.35423729,0.006779661,0,0,0,0,0,0.011864407
702317-11,0.10810811,0.013513514,0,0,0,0,0,0,0.040540541,0,0,0,0.2972973,0,0,0,0,0,0,0
702317-12,0.099206349,0,0,0.005952381,0,0,0,0.003968254,0,0,0,0.003968254,0.30555556,0,0,0,0,0.021825397,0.001984127,0.0099206349
711913-1,0.10285714,0,0.05,0,0.032857143,0.024285714,0.011428571,0.0042857143,0,0.038571429,0.0028571429,0.031428571,0,0,0.012857143,0,0.0071428571,0.067142857,0,0.018571429
711913-1,0.1734375,0,0.090625,0,0,0.046875,0,0,0,0.025,0.0109375,0.009375,0,0,0,0.0109375,0,0.009375,0,0.0484375
711913-3,0.14397496,0,0.034428795,0.010954617,0,0,0,0.0046948357,0.014084507,0.023474178,0,0,0,0.015649452,0.0015649452,0.075117371,0.018779343,0,0.020344288,0.093896714
711913-4,0.14092664,0.013513514,0.019305019,0,0.013513514,0,0,0,0,0,0,0.0057915058,0.0019305019,0.057915058,0.019305019,0.034749035,0.0038610039,0,0.0019305019,0.11583012
711913-5,0.17222222,0,0.055555556,0,0.0083333333,0,0,0.0083333333,0.0083333333,0.052777778,0,0.0083333333,0,0.038888889,0,0.038888889,0,0,0.0055555556,0.033333333
711913-6,0.13082437,0.0017921147,0.071684588,0.023297491,0,0,0.017921147,0.0089605735,0,0,0,0.037634409,0,0.0017921147,0.0035842294,0.019713262,0,0.019713262,0.041218638,0.084229391
711913-7,0.1092233,0,0.046116505,0,0.0024271845,0.029126214,0,0.0048543689,0,0,0,0.087378641,0,0.041262136,0.060679612,0.024271845,0,0,0,0.033980583
711913-8,0.16891892,0,0.064864865,0,0,0.010810811,0,0,0.016216216,0.025675676,0.0054054054,0.024324324,0,0.014864865,0.0013513514,0.014864865,0.0027027027,0,0,0.082432432
711913-9,0.16312057,0.0035460993,0.070921986,0,0.014184397,0.014184397,0.028368794,0,0,0.028368794,0,0,0,0,0.021276596,0,0,0,0,0.04964539
711914-1,0.097727273,0.036363636,0.0068181818,0,0.15454545,0.0022727273,0,0,0,0.0045454545,0,0.031818182,0,0,0,0.068181818,0,0.0068181818,0.025,0
711914-2,0.12410072,0.019784173,0,0.0017985612,0.18345324,0,0.0089928058,0.010791367,0,0,0,0,0.019784173,0,0.014388489,0.04676259,0,0,0.010791367,0
711914-3,0.090439276,0.018087855,0,0,0.26098191,0,0,0.007751938,0,0.007751938,0,0,0,0.025839793,0.0025839793,0.015503876,0.0025839793,0.041343669,0,0
711914-3,0.031932773,0,0,0.011764706,0.016806723,0.0016806723,0.0033613445,0.023529412,0,0.0016806723,0,0.010084034,0,0,0,0,0,0.25210084,0,0
711914-4,0.022292994,0,0,0,0.063694268,0,0,0.063694268,0.0031847134,0,0,0.047770701,0.01910828,0,0.0031847134,0,0,0.15923567,0,0
711914-5,0.054945055,0,0.0047095761,0.04866562,0.029827316,0,0.0015698587,0.014128728,0,0,0,0.026687598,0.0031397174,0,0,0.010989011,0,0.15541601,0,0
711914-6,0.046218487,0.018907563,0.0042016807,0.021008403,0.027310924,0,0,0.0084033613,0,0.0084033613,0.0021008403,0.039915966,0.006302521,0.006302521,0,0,0,0.1512605,0.0084033613,0
711914-7,0.064257028,0,0,0,0,0,0.016064257,0,0,0,0.0020080321,0.026104418,0.012048193,0.0040160643,0.032128514,0,0,0.19277108,0,0
711914-8,0.057692308,0.023076923,0,0,0.10769231,0,0.0076923077,0.026923077,0,0,0,0,0.021153846,0,0.013461538,0,0,0.13269231,0.0019230769,0
711914-9,0.04517134,0.018691589,0,0.015576324,0.17601246,0,0,0.028037383,0,0,0,0.007788162,0.023364486,0,0.018691589,0,0.012461059,0.088785047,0,0
711914-10,0.066666667,0,0,0,0.10666667,0.042666667,0,0,0,0,0.010666667,0.021333333,0.029333333,0,0,0,0,0.136,0,0
711914-11,0.089201878,0.0023474178,0.0046948357,0,0.2629108,0,0.0093896714,0,0.0023474178,0.025821596,0,0,0.042253521,0,0,0,0,0.025821596,0,0
711914-12,0.095238095,0,0,0.045918367,0.076530612,0,0,0,0,0.030612245,0,0,0,0.0017006803,0,0,0,0.15136054,0,0
