ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9
757660-6,5,1/1/20,0,0.001949318,0.023391813,0.031189084,0.033138402,0,0.089668616,0.11890838,0.029239766,0.007797271
757660-7,5,1/1/20,0.031746032,0,0.009070295,0.002267574,0.020408163,0.006802721,0.099773243,0.16780045,0.031746032,0.070294785
757660-8,5,1/1/20,0.018808777,0,0.007836991,0,0.017241379,0,0,0.22727273,0.13636364,0.02507837
757661-1,5,1/1/20,0.15120968,0.02016129,0.1108871,0.008064516,0,0.0625,0.012096774,0.12903226,0,0
757661-2,5,1/1/20,0.21794872,0,0.062271062,0,0,0.047619048,0,0.14835165,0.032967033,0
757661-3,5,1/1/20,0.15730337,0,0.04494382,0.003745318,0,0.056179775,0.026217228,0.12546816,0.02247191,0.013108614
757661-4,5,1/1/20,0.16510319,0,0.071294559,0.016885553,0,0.09380863,0.069418386,0.058161351,0.022514071,0
757661-5,5,1/1/20,0.2045929,0.004175365,0.054279749,0.012526096,0,0.075156576,0.014613779,0.1085595,0,0.002087683
757661-6,5,1/1/20,0.22091062,0,0.033726813,0,0,0.099494098,0.016863406,0.092748735,0.040472175,0
757661-7,5,1/1/20,0.25478927,0.005747126,0.04789272,0,0.005747126,0.03256705,0.001915709,0.16283525,0,0
757661-8,5,1/1/20,0.19308943,0.00203252,0.12804878,0.008130081,0,0.028455285,0.012195122,0.1199187,0,0
757661-9,5,1/1/20,0.26010545,0,0.028119508,0.005272408,0.021089631,0.036906854,0.001757469,0.16520211,0,0
757661-10,5,1/1/20,0.20707965,0,0.10973451,0.010619469,0.003539823,0.033628319,0.021238938,0.063716814,0,0.026548673
757661-11,5,1/1/20,0.22954545,0,0.025,0.018181818,0,0.077272727,0.018181818,0.13863636,0,0
757661-12,5,1/1/20,0.24208145,0,0.042986425,0,0,0.056561086,0.015837104,0.15384615,0.002262443,0.004524887
757662-1,5,1/1/20,0,0.014830508,0,0,0.012711864,0.012711864,0.1779661,0.26483051,0.025423729,0
757662-2,5,1/1/20,0,0,0,0.008665511,0.006932409,0.020797227,0.26343154,0.19410745,0.003466205,0
757662-3,5,1/1/20,0.012280702,0,0,0.007017544,0,0,0.31052632,0.14035088,0.007017544,0.001754386
757662-4,5,1/1/20,0,0,0,0,0,0.030364372,0.27530364,0.15384615,0,0.004048583
757662-5,5,1/1/20,0,0,0,0,0.005226481,0,0.34494774,0.069686411,0,0
757662-6,5,1/1/20,0,0.002061856,0,0,0.006185567,0,0.37319588,0.094845361,0,0
757662-7,5,1/1/20,0.010121457,0,0,0,0.01417004,0,0.36639676,0.048582996,0.004048583,0
757662-8,5,1/1/20,0,0.003496504,0,0.005244755,0.003496504,0.001748252,0.33741259,0.092657343,0,0.005244755
757662-9,5,1/1/20,0,0,0.001727116,0,0.008635579,0,0.35578584,0.091537133,0,0
757662-10,5,1/1/20,0,0,0,0,0,0,0.36724138,0.094827586,0,0
757662-11,5,1/1/20,0,0,0,0.019950125,0.007481297,0.002493766,0.38902743,0.057356608,0,0.004987531
757662-12,5,1/1/20,0,0.011185682,0,0.017897092,0,0,0.36912752,0.080536913,0,0.002237137
757662-13,5,1/1/20,0,0.013513514,0.001689189,0,0.023648649,0,0.375,0.10641892,0,0
757663-1,5,1/1/20,0.003921569,0,0.041176471,0.1745098,0.02745098,0.023529412,0.005882353,0.18039216,0,0
757663-2,5,1/1/20,0,0.013592233,0.075728155,0.18640777,0.031067961,0,0,0.18058252,0,0.011650485
757663-3,5,1/1/20,0,0.012844037,0.025688073,0.25137615,0,0,0.009174312,0.15045872,0,0.009174312
757663-4,5,1/1/20,0,0,0,0.24954792,0.003616637,0.005424955,0.003616637,0.18083183,0,0
757663-5,5,1/1/20,0,0,0,0.22370937,0.026768642,0.003824092,0,0.17973231,0.003824092,0.005736138
757663-6,5,1/1/20,0,0,0.034321373,0.27769111,0.017160686,0,0.012480499,0.11544462,0,0
757663-7,5,1/1/20,0.008403361,0,0,0.26330532,0.030812325,0.011204482,0,0.14845938,0,0
757663-8,5,1/1/20,0,0,0,0.17681729,0.007858546,0,0.027504912,0.16306483,0,0
757663-9,5,1/1/20,0,0,0.012658228,0.21518987,0.021699819,0,0.050632911,0.14285714,0,0.003616637
757663-10,5,1/1/20,0.002293578,0.009174312,0.009174312,0.21330275,0.02293578,0,0.073394495,0.10779817,0,0
757663-11,5,1/1/20,0,0,0,0.1761745,0.068791946,0.001677852,0.02852349,0.16946309,0,0
757663-12,5,1/1/20,0,0.020761246,0,0.19723183,0.069204152,0,0.003460208,0.15916955,0,0
757664-1,5,1/1/20,0.001992032,0.001992032,0.017928287,0.10557769,0.15537849,0,0.029880478,0.18525896,0.021912351,0
757664-2,5,1/1/20,0.00390625,0.001953125,0.0390625,0.080078125,0.11132813,0,0.033203125,0.1875,0.029296875,0.017578125
757664-3,5,1/1/20,0,0,0,0.13888889,0.1474359,0,0.021367521,0.13247863,0.002136752,0.025641026
757664-4,5,1/1/20,0,0,0,0.11656442,0.16768916,0,0.034764826,0.17586912,0.010224949,0
757664-5,5,1/1/20,0,0,0.01532567,0.067049808,0.21072797,0.003831418,0.082375479,0.074712644,0,0
757664-6,5,1/1/20,0.004338395,0,0.047722343,0.11496746,0.18438178,0.004338395,0.026030369,0.091106291,0.010845987,0.006507592
757664-7,5,1/1/20,0,0,0,0.10357143,0.096428571,0,0.15178571,0.073214286,0,0.033928571
757664-8,5,1/1/20,0,0,0,0.15834768,0.030981067,0,0.21342513,0.055077453,0,0.015490534
